Technology_Types,Measure,Country,Year,OBS_VALUE,Log_OBS_VALUE,Availability_Category
Magnetic Resonance Imaging units,Per million population,United States,2016,36.73,1.57,Low
Mammographs,Per million population,United States,2016,51.75,1.71,Low
Radiation therapy equipment,Per million population,United States,2016,11.93,1.08,Low
Computed Tomography scanners,Per million population,Brazil,2016,20.31,1.31,Low
Magnetic Resonance Imaging units,Per million population,Brazil,2016,10.38,1.02,Low
Computed Tomography scanners,Per million population,Estonia,2016,17.48,1.24,Low
Magnetic Resonance Imaging units,Per million population,Estonia,2016,13.68,1.14,Low
Positron Emission Tomography (PET) scanners,Per million population,Estonia,2016,2.28,0.36,Very Low
Gamma cameras,Per million population,Estonia,2016,2.28,0.36,Very Low
Mammographs,Per million population,Estonia,2016,11.4,1.06,Low
Radiation therapy equipment,Per million population,Estonia,2016,5.32,0.73,Very Low
Computed Tomography scanners,Per million population,Israel,2016,9.48,0.98,Very Low
Magnetic Resonance Imaging units,Per million population,Israel,2016,5.27,0.72,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Israel,2016,1.05,0.02,Very Low
Gamma cameras,Per million population,Israel,2016,10.06,1,Low
Mammographs,Per million population,Israel,2016,9.24,0.97,Very Low
Radiation therapy equipment,Per million population,Israel,2016,3.86,0.59,Very Low
Computed Tomography scanners,Per million population,Russia,2016,12.76,1.11,Low
Magnetic Resonance Imaging units,Per million population,Russia,2016,4.52,0.66,Very Low
Computed Tomography scanners,Per million population,Slovenia,2016,14.04,1.15,Low
Magnetic Resonance Imaging units,Per million population,Slovenia,2016,11.14,1.05,Low
Positron Emission Tomography (PET) scanners,Per million population,Slovenia,2016,1.45,0.16,Very Low
Gamma cameras,Per million population,Slovenia,2016,8.23,0.92,Very Low
Mammographs,Per million population,Slovenia,2016,15.98,1.2,Low
Radiation therapy equipment,Per million population,Slovenia,2016,6.3,0.8,Very Low
Magnetic Resonance Imaging units,Number,Latvia,2016,27,1.43,Low
Mammographs,Number,Lithuania,2016,42,1.62,Low
Computed Tomography scanners,Number,Latvia,2016,71,1.85,Low
Radiation therapy equipment,Number,Lithuania,2016,23,1.36,Low
Radiation therapy equipment,Per million population,Latvia,2016,5.1,0.71,Very Low
Mammographs,Per million population,Latvia,2016,25.01,1.4,Low
Radiation therapy equipment,Per million population,Lithuania,2016,8.02,0.9,Very Low
Radiation therapy equipment,Number,Latvia,2016,10,1,Very Low
Mammographs,Per million population,Lithuania,2016,14.64,1.17,Low
Computed Tomography scanners,Per million population,Latvia,2016,36.23,1.56,Low
Positron Emission Tomography (PET) scanners,Number,Lithuania,2016,2,0.3,Very Low
Magnetic Resonance Imaging units,Number,Lithuania,2016,35,1.54,Low
Magnetic Resonance Imaging units,Per million population,Latvia,2016,13.78,1.14,Low
Gamma cameras,Per million population,Latvia,2016,3.06,0.49,Very Low
Computed Tomography scanners,Number,Lithuania,2016,66,1.82,Low
Positron Emission Tomography (PET) scanners,Per million population,Lithuania,2016,0.7,-0.15,Very Low
Computed Tomography scanners,Per million population,Lithuania,2016,23.01,1.36,Low
Magnetic Resonance Imaging units,Per million population,Lithuania,2016,12.2,1.09,Low
Mammographs,Number,Latvia,2016,49,1.69,Low
Gamma cameras,Number,Latvia,2016,6,0.78,Very Low
Gamma cameras,Number,Lithuania,2016,9,0.95,Very Low
Gamma cameras,Per million population,Lithuania,2016,3.14,0.5,Very Low
Magnetic Resonance Imaging units,Number,Colombia,2016,11,1.04,Low
Computed Tomography scanners,Number,Colombia,2016,350,2.54,Medium
Computed Tomography scanners,Per million population,Colombia,2016,7.18,0.86,Very Low
Magnetic Resonance Imaging units,Per million population,Colombia,2016,0.23,-0.64,Very Low
Gamma cameras,Per million population,Croatia,2016,7.91,0.9,Very Low
Radiation therapy equipment,Per million population,Croatia,2016,9.83,0.99,Very Low
Mammographs,Per million population,Croatia,2016,31.88,1.5,Low
Computed Tomography scanners,Per million population,Croatia,2016,17.74,1.25,Low
Magnetic Resonance Imaging units,Per million population,Croatia,2016,10.79,1.03,Low
Positron Emission Tomography (PET) scanners,Per million population,Croatia,2016,1.2,0.08,Very Low
Mammographs,Per million population,Romania,2016,7.61,0.88,Very Low
Radiation therapy equipment,Per million population,Romania,2016,3.91,0.59,Very Low
Radiation therapy equipment,Number,Romania,2016,77,1.89,Low
Magnetic Resonance Imaging units,Number,Bulgaria,2016,56,1.75,Low
Positron Emission Tomography (PET) scanners,Number,Bulgaria,2016,6,0.78,Very Low
Positron Emission Tomography (PET) scanners,Number,Croatia,2016,5,0.7,Very Low
Magnetic Resonance Imaging units,Number,Croatia,2016,45,1.65,Low
Computed Tomography scanners,Number,Bulgaria,2016,247,2.39,Medium
Gamma cameras,Number,Croatia,2016,33,1.52,Low
Radiation therapy equipment,Per million population,Bulgaria,2016,8.84,0.95,Very Low
Computed Tomography scanners,Per million population,Romania,2016,12.64,1.1,Low
Gamma cameras,Number,Bulgaria,2016,23,1.36,Low
Mammographs,Number,Bulgaria,2016,217,2.34,Medium
Mammographs,Number,Croatia,2016,133,2.12,Medium
Radiation therapy equipment,Number,Croatia,2016,41,1.61,Low
Magnetic Resonance Imaging units,Per million population,Romania,2016,5.89,0.77,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Romania,2016,0.46,-0.34,Very Low
Gamma cameras,Per million population,Romania,2016,2.39,0.38,Very Low
Radiation therapy equipment,Number,Bulgaria,2016,63,1.8,Low
Computed Tomography scanners,Number,Croatia,2016,74,1.87,Low
Gamma cameras,Per million population,Bulgaria,2016,3.23,0.51,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Bulgaria,2016,0.84,-0.08,Very Low
Positron Emission Tomography (PET) scanners,Number,Romania,2016,9,0.95,Very Low
Gamma cameras,Number,Romania,2016,47,1.67,Low
Mammographs,Per million population,Bulgaria,2016,30.44,1.48,Low
Mammographs,Number,Romania,2016,150,2.18,Medium
Magnetic Resonance Imaging units,Per million population,Bulgaria,2016,7.86,0.9,Very Low
Computed Tomography scanners,Per million population,Bulgaria,2016,34.65,1.54,Low
Magnetic Resonance Imaging units,Number,Romania,2016,116,2.06,Medium
Computed Tomography scanners,Number,Romania,2016,249,2.4,Medium
Computed Tomography scanners,Number,Germany,2020,2986,3.48,High
Magnetic Resonance Imaging units,Number,Germany,2020,2912,3.46,High
Computed Tomography scanners,Per million population,Germany,2020,35.91,1.56,Low
Magnetic Resonance Imaging units,Per million population,Germany,2020,35.02,1.54,Low
Positron Emission Tomography (PET) scanners,Number,Hungary,2017,9,0.95,Very Low
Gamma cameras,Number,Hungary,2017,114,2.06,Medium
Mammographs,Number,Hungary,2017,150,2.18,Medium
Radiation therapy equipment,Number,Hungary,2017,46,1.66,Low
Radiation therapy equipment,Number,United Kingdom,2017,536.37,2.73,Medium
Positron Emission Tomography (PET) scanners,Per million population,Hungary,2017,0.92,-0.04,Very Low
Gamma cameras,Per million population,Hungary,2017,11.65,1.07,Low
Mammographs,Per million population,Hungary,2017,15.32,1.19,Low
Radiation therapy equipment,Per million population,Hungary,2017,4.7,0.67,Very Low
Radiation therapy equipment,Per million population,United Kingdom,2017,8.12,0.91,Very Low
Positron Emission Tomography (PET) scanners,Number,Hungary,2014,5,0.7,Very Low
Gamma cameras,Number,Hungary,2014,113,2.05,Medium
Mammographs,Number,Hungary,2014,144,2.16,Medium
Radiation therapy equipment,Number,Hungary,2014,45,1.65,Low
Computed Tomography scanners,Number,United Kingdom,2014,610.99,2.79,Medium
Magnetic Resonance Imaging units,Number,United Kingdom,2014,466.96,2.67,Medium
Radiation therapy equipment,Number,United Kingdom,2014,376.95,2.58,Medium
Positron Emission Tomography (PET) scanners,Per million population,Hungary,2014,0.51,-0.29,Very Low
Gamma cameras,Per million population,Hungary,2014,11.45,1.06,Low
Mammographs,Per million population,Hungary,2014,14.59,1.16,Low
Radiation therapy equipment,Per million population,Hungary,2014,4.56,0.66,Very Low
Computed Tomography scanners,Per million population,United Kingdom,2014,9.46,0.98,Very Low
Magnetic Resonance Imaging units,Per million population,United Kingdom,2014,7.23,0.86,Very Low
Radiation therapy equipment,Per million population,United Kingdom,2014,5.84,0.77,Very Low
Positron Emission Tomography (PET) scanners,Number,Hungary,2016,6,0.78,Very Low
Gamma cameras,Number,Hungary,2016,114,2.06,Medium
Mammographs,Number,Hungary,2016,145,2.16,Medium
Radiation therapy equipment,Number,Hungary,2016,46,1.66,Low
Positron Emission Tomography (PET) scanners,Per million population,Hungary,2016,0.61,-0.21,Very Low
Gamma cameras,Per million population,Hungary,2016,11.62,1.07,Low
Mammographs,Per million population,Hungary,2016,14.77,1.17,Low
Radiation therapy equipment,Per million population,Hungary,2016,4.69,0.67,Very Low
Radiation therapy equipment,Number,United Kingdom,2018,536,2.73,Medium
Radiation therapy equipment,Per million population,United Kingdom,2018,8.07,0.91,Very Low
Computed Tomography scanners,Number,Germany,2019,2930,3.47,High
Magnetic Resonance Imaging units,Number,Germany,2019,2884,3.46,High
Computed Tomography scanners,Per million population,Germany,2019,35.26,1.55,Low
Magnetic Resonance Imaging units,Per million population,Germany,2019,34.71,1.54,Low
Positron Emission Tomography (PET) scanners,Number,Hungary,2015,5,0.7,Very Low
Gamma cameras,Number,Hungary,2015,113,2.05,Medium
Mammographs,Number,Hungary,2015,144,2.16,Medium
Radiation therapy equipment,Number,Hungary,2015,45,1.65,Low
Positron Emission Tomography (PET) scanners,Per million population,Hungary,2015,0.51,-0.29,Very Low
Gamma cameras,Per million population,Hungary,2015,11.48,1.06,Low
Mammographs,Per million population,Hungary,2015,14.63,1.17,Low
Radiation therapy equipment,Per million population,Hungary,2015,4.57,0.66,Very Low
Magnetic Resonance Imaging units,Number,Canada,2013,312,2.49,Medium
Computed Tomography scanners,Number,Canada,2013,518,2.71,Medium
Mammographs,Number,Canada,2013,576,2.76,Medium
Computed Tomography scanners,Number,United Kingdom,2013,596.61,2.78,Medium
Magnetic Resonance Imaging units,Number,United Kingdom,2013,461.53,2.66,Medium
Computed Tomography scanners,Per million population,Canada,2013,14.77,1.17,Low
Magnetic Resonance Imaging units,Per million population,Canada,2013,8.89,0.95,Very Low
Mammographs,Per million population,Canada,2013,16.42,1.22,Low
Computed Tomography scanners,Per million population,United Kingdom,2013,9.31,0.97,Very Low
Magnetic Resonance Imaging units,Per million population,United Kingdom,2013,7.2,0.86,Very Low
Computed Tomography scanners,Number,United Kingdom,2012,578.85,2.76,Medium
Magnetic Resonance Imaging units,Number,United Kingdom,2012,456.1,2.66,Medium
Computed Tomography scanners,Per million population,United Kingdom,2012,9.09,0.96,Very Low
Magnetic Resonance Imaging units,Per million population,United Kingdom,2012,7.16,0.85,Very Low
Computed Tomography scanners,Number,United Kingdom,2011,536.29,2.73,Medium
Magnetic Resonance Imaging units,Number,United Kingdom,2011,440.52,2.64,Medium
Radiation therapy equipment,Number,United Kingdom,2011,375.18,2.57,Medium
Computed Tomography scanners,Per million population,United Kingdom,2011,8.47,0.93,Very Low
Magnetic Resonance Imaging units,Per million population,United Kingdom,2011,6.96,0.84,Very Low
Radiation therapy equipment,Per million population,United Kingdom,2011,5.93,0.77,Very Low
Computed Tomography scanners,Number,United Kingdom,2010,496.96,2.7,Medium
Magnetic Resonance Imaging units,Number,United Kingdom,2010,411.32,2.61,Medium
Radiation therapy equipment,Number,United Kingdom,2010,376.38,2.58,Medium
Computed Tomography scanners,Per million population,United Kingdom,2010,7.92,0.9,Very Low
Radiation therapy equipment,Per million population,United Kingdom,2010,6,0.78,Very Low
Magnetic Resonance Imaging units,Per million population,United Kingdom,2010,6.55,0.82,Very Low
Computed Tomography scanners,Number,Belgium,2010,152,2.18,Medium
Computed Tomography scanners,Number,Belgium,2011,152,2.18,Medium
Computed Tomography scanners,Number,Belgium,2012,167,2.22,Medium
Magnetic Resonance Imaging units,Number,Hungary,2020,48,1.68,Low
Computed Tomography scanners,Number,Hungary,2010,73,1.86,Low
Computed Tomography scanners,Number,Hungary,2011,73,1.86,Low
Computed Tomography scanners,Number,Hungary,2012,76,1.88,Low
Computed Tomography scanners,Number,Hungary,2013,78,1.89,Low
Computed Tomography scanners,Number,Hungary,2014,82,1.91,Low
Computed Tomography scanners,Number,Hungary,2015,83,1.92,Low
Computed Tomography scanners,Number,Hungary,2016,87,1.94,Low
Computed Tomography scanners,Number,Hungary,2017,90,1.95,Low
Computed Tomography scanners,Number,Hungary,2018,92,1.96,Low
Computed Tomography scanners,Number,Hungary,2019,92,1.96,Low
Computed Tomography scanners,Number,Hungary,2020,94,1.97,Low
Magnetic Resonance Imaging units,Number,Hungary,2010,30,1.48,Low
Magnetic Resonance Imaging units,Number,Hungary,2011,30,1.48,Low
Magnetic Resonance Imaging units,Number,Hungary,2012,28,1.45,Low
Magnetic Resonance Imaging units,Number,Hungary,2013,30,1.48,Low
Magnetic Resonance Imaging units,Number,Hungary,2014,31,1.49,Low
Magnetic Resonance Imaging units,Number,Hungary,2015,35,1.54,Low
Magnetic Resonance Imaging units,Number,Hungary,2016,39,1.59,Low
Magnetic Resonance Imaging units,Number,Hungary,2017,46,1.66,Low
Magnetic Resonance Imaging units,Number,Hungary,2018,48,1.68,Low
Magnetic Resonance Imaging units,Number,Hungary,2019,48,1.68,Low
Computed Tomography scanners,Per million population,Belgium,2010,13.95,1.14,Low
Computed Tomography scanners,Per million population,Belgium,2011,13.77,1.14,Low
Computed Tomography scanners,Per million population,Belgium,2012,15.04,1.18,Low
Computed Tomography scanners,Per million population,Hungary,2010,7.3,0.86,Very Low
Computed Tomography scanners,Per million population,Hungary,2011,7.32,0.86,Very Low
Computed Tomography scanners,Per million population,Hungary,2012,7.66,0.88,Very Low
Computed Tomography scanners,Per million population,Hungary,2013,7.88,0.9,Very Low
Computed Tomography scanners,Per million population,Hungary,2014,8.31,0.92,Very Low
Computed Tomography scanners,Per million population,Hungary,2015,8.43,0.93,Very Low
Computed Tomography scanners,Per million population,Hungary,2016,8.86,0.95,Very Low
Computed Tomography scanners,Per million population,Hungary,2017,9.19,0.96,Very Low
Computed Tomography scanners,Per million population,Hungary,2018,9.41,0.97,Very Low
Computed Tomography scanners,Per million population,Hungary,2019,9.42,0.97,Very Low
Computed Tomography scanners,Per million population,Hungary,2020,9.64,0.98,Very Low
Magnetic Resonance Imaging units,Per million population,Hungary,2010,3,0.48,Very Low
Magnetic Resonance Imaging units,Per million population,Hungary,2011,3.01,0.48,Very Low
Magnetic Resonance Imaging units,Per million population,Hungary,2014,3.14,0.5,Very Low
Magnetic Resonance Imaging units,Per million population,Hungary,2015,3.56,0.55,Very Low
Magnetic Resonance Imaging units,Per million population,Hungary,2016,3.97,0.6,Very Low
Magnetic Resonance Imaging units,Per million population,Hungary,2017,4.7,0.67,Very Low
Magnetic Resonance Imaging units,Per million population,Hungary,2018,4.91,0.69,Very Low
Magnetic Resonance Imaging units,Per million population,Hungary,2019,4.91,0.69,Very Low
Magnetic Resonance Imaging units,Per million population,Hungary,2020,4.92,0.69,Very Low
Magnetic Resonance Imaging units,Per million population,Hungary,2012,2.82,0.45,Very Low
Magnetic Resonance Imaging units,Per million population,Hungary,2013,3.03,0.48,Very Low
Gamma cameras,Number,Canada,2017,603,2.78,Medium
Radiation therapy equipment,Number,Poland,2017,173,2.24,Medium
Gamma cameras,Per million population,Canada,2017,16.5,1.22,Low
Radiation therapy equipment,Per million population,Poland,2017,4.56,0.66,Very Low
